,name,Prey,Name Of Young,Group Behavior,Fun Fact,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Other Name(s),Gestation Period,Habitat,Diet,Average Litter Size,Lifestyle,Common Name,Number Of Species,Location,Slogan,Group,Litter Size,Predators,Type,Distinctive Feature,Temperament,Training,Wingspan,Incubation Period,Age Of Fledgling,Average Clutch Size,Main Prey,Age Of Independence,Average Spawn Size,Nesting Location,Age of Molting,Favorite Food,Origin,Optimum pH Level,Migratory,Special Features,Optimum PH Level
1330,Ruddy Turnstone,"Insects, crustaceans, seeds, fish",,,They flip over stones to find prey,"300,000-500,000",Disease,"Brown, orange, black feathers",Turnstone,,"Coastlines, wetlands, grasslands",Omnivore,,,Turnstone,2,Worldwide,,,2-5,"American mink, Arctic fox, red fox, rats",Bird,,,,20-22 inches,22-24 days,,,,,,Rocky ground,,,,,1,,
1331,Russell Terrier,,,,The Russell Terrier was bred to be a good fox hunter with a keen sense of smell,,,,,,,Omnivore,,,,,,,,,,,,"Curious, alert, and friendly",,,,,,,,,,,,,,,,
1332,Russian Bear Dog,,,,The bite of a Russian Bear Dog is stronger than a lion’s bite.,,,,,,,Omnivore,,,,,,,,,,,,Bold and Fearless,,,,,,,,,,,,,,,,
1333,Russian Blue,,,,"The Russian blue cat is also known as the Archangel blue cat, and is thought to have originated from the port of Arkhangelsk in Russia.",,,,"Archangel Cat, Archangel Blue",,,Omnivore,6,,Russian Blue,,,First brought to the UK in the 1800s!,Shorthair,,,,,"Independent, easy-going and loyal",,,,,,,,,,,,,,,,
1334,Russian Tortoise,,hatchlings,Semi-social,Known by at least five different names,,Humans,Spiked tail,"Central Asian Tortoise, Afghan Tortoise, Steppe Tortoise",56-84 days,arid steppes,Herbivore,,,Russian Tortoise,,Central Asia,,Social but territorial,five eggs,"Raccoon, fox, coyote",reptile,,,,,,,,,,,,,"grasses, flowers, leaves and other vegetation",,,,,
1335,Saanen Goat,grass and legume,kid or billy,,The saanen goat is the most popular milk breed.,"900,000",,white skin and short white coat,"Saanenziege, Chèvre de Gessenay, and Capra di Saanen",,cool weather and hilly terrain,Omnivore,2,HerdFlock,saanen goat,8,,,herd,,"Coyotes, bobcats, wild dogs, and wolves",mammal,,calm,,,,,,,,,,,,Switzerland,,,,
1336,Saarloos Wolfdog,,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1337,Saber-Toothed Tiger,,,,,,,,,,Forests and grasslands,Carnivore,3,Pack,,,,Canines up to 7 inches long!,,,Humans,Mammal,Large muscular body and long canine teeth,,,,,,,"Deer, Bison, Woolly Mammoth",,,,,Deer,,,,,
1338,Sable,"Molluscs, hares, rodents, musk deer",Cub,Solitary,Their fur has been considered a luxury item since the Middle Ages,2.3 million,Poaching,Luxurious fur,,245 to 298 days,Dense forest,Omnivore,,,Sable,,"Russia, Mongolia, parts of China and Korean Peninsula",,Solitary,1 to 7,"Wolves, foxes, wolverines, tigers, lynxes, eagles, owls",Mammal,,,,,,,,,,,,,,,,,,
1339,Sable Black German Shepherd,,Puppy,,"According to the American Kennel Club, the German Shepherd is the second most popular breed in the United States",,,,,,,Omnivore,,,,,,,,5-9 puppies,,mammal,,"Intelligent, loyal, and courageous",,,,,,,,,,,,Germany,,,,
1340,Sable Ferret,Rabbits and vermin if it is used for ferreting,Kit,Gregarious,Ferrets were used during the Revolutionary War to keep down the rat population.,Millions. The conservation status is “domesticated.”,None,"Its beautiful, dark brown fur",Poley,42 days,"Among humans, though native habitats are forests and woods near water.",Carnivore,,,Sable Ferret,1,Cosmopolitan,,A business or busyness,As many as 15 kits,None,Mammal,,,,,,,,,,,,,Meat in the form of ferret food,,,,,
1341,Saiga,,calves,Herd,Large noses help filter out dust,"50,000-150,000",poaching,Large nose with downward-facing nostrils,,5 months,"arid grasslands, steppes",Herbivore,,Herd,Saiga,2,Central Asia,,,1-2,"wolves, dogs, foxes, humans",Antelope,,,,,,,,,,,,,"grasses, lichen",,,,,
1342,Saint Berdoodle,,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1343,Saint Bernard,,,,"Saint Bernard dogs have a slow progression into mental adulthood, maintaining their puppy-like tendencies for years longer than other breeds.",,,,,,,Omnivore,,,Saint Bernard,,,"Gentle, loyal and friendly!",Mastiff,,,,,"Intelligent, friendly, loyal",,,,,,,,,,,,,,,,
1344,Saint Shepherd,,,,"These dogs have an eager-to-please attitude, making them sweet and happy pets.",,,,,,,Omnivore,,,,,,,,,,,,"Friendly, intelligent, eager-to-please",,,,,,,,,,,,,,,,
1345,Salamander,,,,,,,,,,"Rainforest, streams and wetlands",Carnivore,300,Solitary,,,,There are more than 700 different species!,,,"Fish, Snakes, Birds",Amphibian,,,,,,,,"Fish, Mice, Insects",,,,,Fish,,,,,
1346,Salmon,"Worms, squid, crustaceans, and other fish",,Solitary,Returns upstream every year to spawn,Millions,Habitat change,The physical transformation in spawning season,,,"Open seas, lakes, or streams",Carnivore,,,Salmon,8,,,,,"Bears, seals, killer whales, sharks, otters, kingfishers, eagles, and humans",Ray-finned fish,,,,,,,,,,,,,,,,,,
1347,Salmon Shark,fish,,Solitary,Salmon sharks are related to Great Whites.,unknown,humans,"short snout, two keels",Pacific Porbeagle,9 months,"marine, ocean",Carnivore,,,Salmon Shark,1,,,,,"humans, other sharks",fish,,,,,,,,,,,,,,,,,,
1348,Saluki,,Puppy,,The Saluki is one of the fastest dog breeds in the world.,,,,,,,Omnivore,,,,,,,,4-8 puppies,,,,,,,,,,,,,,,,Fertile Crescent,,,,
1349,Sambar,,Fawn,Solitary/Group,Male sambars will compete for mates by clashing together with their antlers,Unknown,Habitat loss and hunting,The large antlers of the male,Sambhur or sambur,8-9 months,Forests and grasslands,Herbivore,,,Sambar,1,South Asia,,,1-2 fawns,"Humans, tigers, leopards, and dholes",Mammal,,,,,,,,,,,,,"Leaves, berries, grasses, bark, fruits, herbs, and buds",,,,,
1350,Samoyed,,,,,,,,,,,Omnivore,,,Samoyed,,,,,,,,,"Gentle, friendly, adaptable",,,,,,,,,,,,,,,,
1351,San Francisco Garter Snake,"Frogs, fish, birds, reptiles, and small mammals",,,The San Francisco garter snake is among the rarest snake species in the United States.,,,,,,,Carnivore,,,San Francisco garter snake,,,,,10-40 live young,,,,,,,,,,,,,,,,,,,,
1352,Sand Crab,Plankton and dinoflagellates,Larvae,Solitary,The sand crab burrows beneath the sand with its tail,Unknown,Habitat loss,The heavy armored shell,Mole crab and sand flea,3-4 months,Beaches and dunes,Omnivore,,,Sand Crab,,Worldwide,,,"Up to 45,000 eggs",Fishes and birds,Crustacean,,,,,,,,,,,,,,,,,,
1353,Sand Lizard,,,,Males turn green in spring!,,,,,,Grass and heathland,Carnivore,,Solitary,,,,Males turn green in spring!,,,,Reptile,Striped patterned body and forked tongue,,,,,,8,"Spiders, Insects, Grasshoppers",,,,,Spiders,,,,,
1354,Sand Tiger Shark,"Bony fish, other sharks, crustaceans, squid, skates and rays",,Solitary/Group,The sand tiger is the shark most commonly seen in aquariums.,"Unknown, but its population decreased by 20 percent in just the last decade due to overfishing.",Humans,It gulps air to keep buoyant.,"spotted ragged-tooth shark, blue-nurse sand tiger, grey nurse shark, spotted sand tiger shark, chien de mer, dogfish shark, slender-tooth shark, magonga, requin taureau, ground shark",Eight to twelve months,Shallow tropical and temperate waters close to the shore,Carnivore,,,Sand tiger shark,4,,,,,,Fish,,,,,,,,,,,,,,,,,,
1355,Sand Viper,"lizards, geckos, small mammals",,,,,,,"Saharan Sand Viper, Common Sand Viper",,,Carnivore,,,sand viper,,,,,up to eight live young,,reptile,,,,,,,,,,,,,,,,,,
1356,Saola,"Leaves, Grasses, Herbs",Calf,Mainly solitary,Only known to science since 1992!,less than 250,Habitat loss and hunting,Horns that can grow up to 50cm long,Asian Unicorn,8 months,Moist and dense evergreen forest,Herbivore,1,Diurnal,Saola,1,Mountains of Vietnam-Laos border,Only known to science since 1992!,Mammal,,"Human, Tiger, Crocodile",,,,,,,,,,,,,,,,,,,
1357,Sardines,,,School,Schools of sardines can be miles long and are often visible from an airplane,"Pacific Sardine population is measured at 27,547 metric tons",Overfishing as a food source,Silver color and one small dorsal fin,"Pilchard, Sardina",Eggs hatch in three days,Saltwater oceans and seas around the world,Omnivore,,,"European Pilchard, Pacific Sardine, South American Pilchard",21,,,,,"Dolphins, seals, penguins, sharks, terns, pelicans",Ray-finned fish (Actinopterygii),,,,,,,,Zooplankton and Phytoplankton,,,,,,,,,,
1358,Satanic leaf-tailed gecko,Insects and small invertebrates,Hatchling,Solitary,They are called “phants” or “satanics” in the pet trade.,"Unknown, conservation status is Least Concern","Habitat loss, illegal pet trade",Its amazing camouflage,"Eyelash leaf-tailed gecko, phantastic leaf-tailed gecko",90 to 120 days,Tropical forests,Carnivore,,,Satanic Leaf-tailed Gecko,1,Madagascar,,,Two to three per clutch,"Snakes and rats, perhaps birds",Reptile,,,,,,,,,,,,,,,,,,
1359,Sauropoda,,,,Newly hatched sauropods weighted less than 11 pounds and put on 2 tons of weight a year!,,,"Large, robust body",,,,,,Herd,,,,,,,,,Long neck and small head,,,,,,,,,,,,"Plants, including tree leaves",,,,,
1360,Savanna Goat,,Kid,Flock,Savanna goats have only existed since 1957.,"3,000 in the U.S., South Africa unknown",,Solid white coat with black skin,,150 days,savanna mixed woodland-grassland,Herbivore,,,savanna goat,-1,"South Africa, South America, United States, New Zealand, Australia",,,1-3 kids,"humans, foxes, wolves, coyotes, mountain lions, bobcats, bears, eagles, dogs",Mammal,,,,,,,,,,,,,,,,,,
1361,Savannah Sparrow,"Flies, caterpillars, beetles",Chicks,,"The Savannah sparrow gets its name because one of the first of this type of bird was found in the city of Savannah, Georgia.","170,000,000",Environmental loss and ingesting insecticide,A yellow stripe over its eyes,,,"Open fields, prairies, meadows, and salt marshes",Omnivore,,Flock,Savannah Sparrow,,,,,,,,Its breast is white with dark streaks,,,,10 - 13 days,3 weeks,,,Approximately 21 days,,On the ground beneath decaying vegetable matter,,,,,,,
1362,Sawfish,fish and crustaceans,,Solitary,Sawfish teeth keep growing as the fish gets older,,Poaching,Ridged rostrum,Carpenter sharks,12 months,Coastal,Carnivore,,,Sawfish,5,,,,,"Crocodiles, sharks, and dolphins",rhinopristoform,,,,,,,,,,,,,,,,,,
1363,Scarlet Kingsnake,"Lizards, other snakes, birds and their eggs, rodents",,,,,,,scarlet milk snake,,,Carnivore,,,scarlet kingsnake,,,,,10,,reptile,,,,,,,,,,,,,,,,,,
1364,Scarlet Macaw,,,,"Like many parrots, the scarlet macaw is capable of vocal mimicry.","20,000 - 50,000",Habitat destruction,Brightly colored plumage,,,Rainforests,Omnivore,,,Scarlet macaw,1,Central and South America,,,,"Jaguars, eagles, hawks, monkeys, and snakes",Bird,,,,3ft,3-4 weeks,,,,,,Upper canopy,3-4 months,"Fruit, nuts, nectar, and insects",,,,,
1365,Schipperke,,,,Schipperkes were used to hunt and kill rodents on Belgian ships.,,,,,,,Omnivore,,,,,,,,,,,,Confident and lively,,,,,,,,,,,,,,,,
1366,Schneagle,,,,This hybrid dog is a great companion and doesn’t do well being left alone but is suitable for apartments or houses with backyards!,,,,,,,Omnivore,,,,,,,,,,,,"Alert and energetic, but devoted",,,,,,,,,,,,,,,,
1367,Schnoodle,,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1368,Scimitar-horned Oryx,N/A,,,The scimitar-horned oryx can go up to 10 months without drinking water,,"Human hunting, loss of habitat",,,,Desert and savanna woodlands,Herbivore,,Diurnalnomadic,Scimitar-horned oryx,,Norther Africa,Believed to be the inspiration for unicorn myths!,Mammal,,"Lions, leopards, golden jackals, hyenas",,,,,,,,,,,,,,,,,,,
1369,Scorpion,,,,"There are around 2,000 known species!",,,,,,"Dry desert, grassland, savanna and tropical jungles",Carnivore,6,Solitary,,,,"There are around 2,000 known species!",,,,Arachnida,,,,,,,,"Insects, Spiders, Small rodents",,,,,Insects,,,,,
1370,Scorpion Fish,"Coral reef, snails, and small fishes",,Solitary,These fishes have venom covered spines all over their bodies.,Not known,"Sharks, rays, and large snappers",Venom mucous covered sharp spines,,3 to 18 months,"Indian Ocean, Pacific Ocean, and Indonesia",Omnivore,,,Scorpionfish,198,,There are more than 200 recognised species!,,,"Sharks, snappers, and rays",Fish,,,,,,,6000,,,,,,"Coral reefs, small fishes, snails",,8.1 - 8.4,,,
1371,Scottish Terrier,,,,This breed is nicknamed the “Diehard” because of its iron will and steely determination.,,,,,,,Omnivore,,,,,,,,,,,,"Confident, independent, and alert",,,,,,,,,,,,,,,,
1372,Scrotum Frog,"Snails, fish, tadpoles, amphipods, aquatic insects","Larva, tadpole",Solitary,"The frog's ears are underdeveloped, and if it hears it probably does so through its lungs.",As few as 45,"Hunting, invasive species, pollution, disease",its loose skin," Lake Titicaca frog, Titicaca water frog",one to two weeks,The Lake Titicaca basin,Carnivore,,,Scrotum frog,1,Peru and Bolivia,,solitary,80 to 500,"trou, humans",amphibian,,,,,,,,,,,,,,,,,,
1373,Sculpin,"Fish eggs, insects",,Solitary,Its skull bones can compress so the fish can fit in narrow spaces,Unknown,Dam construction,Spiny fins,Sea scorpion,5-7 days,"Lakes, rivers, streams",Carnivore,,,,110,,,,,Humans,Cottus,,,,,,,,,,,,,,,,,,
1374,Sea Anemone,"Shrimp, small fish",,Solitary/Group,Creatures have characteristics of both animal and plant,,,Colors,,,Oceans,Carnivore,,,Sea anemone,,,,,,"Sea turtles, sea slugs",,,,,,,,,,,,,,,,,,,
1375,Sea Dragon,,,,,,,,,,Tropical coastal waters,Carnivore,,,Sea Dragon,,,Inhabits tropical coastal waters of Australia!,,,Large Fish,,Elongated snout and easily camouflaged body,,,,,,250,"Plankton, Shrimp, Small fish",,,,,Plankton,,6.5 - 8.0,,,
1376,Sea Eagle,"Fish, rodents, small birds, reptiles, and amphibians",,,The sea eagle tends to mate for life with a single partner,More than a million,"Habitat loss, poisoning, and hunting",The contrasting dark and light plumage,Fish eagles and erns,,"Next to rivers, lakes, and seas",Carnivore,,,sea eagle,10,everywhere except South America,,,,,bird,,,,up to seven feet,one month,,2,,,,trees and cliffs,two to three months,,,,1,,
1377,Sea Lion,,,,,,,,,,Coastal waters and rocky shorelines,Omnivore,1,Herd,,,,It's flippers allow it to walk on the land,,,"Human, Sharks, Killer Whale",Mammal,,,,,,,,"Fish, Crabs, Squid",,,,,Fish,,,,,
1378,Sea Otter,,,,,,,,,,Unpolluted areas close to the shore,Omnivore,1,Solitary,,,,Eats over 40 different marine species!,,,"Sharks, Humans, Killer Whales",Mammal,,,,,,,,"Sea Urchins, Clams, Crabs, Seaweed",,,,,Sea Urchins,,,,,
1379,Sea Roach,,Baby sea roach or juvenile,Solitary,They breathe through gills but live on land,Unknown,Water pollution,Segmented shell,"Sea slater, wharf roach",28 days,"Around waterlines under rocks, near piers",Omnivore,,,Sea roach,,"Coasts of Ireland, England, United States",,,Average of 80,"Fish, birds",Insect,,,,,,,,,,,,,"Decaying vegetation, dead fish",,,,,
1380,Sea Slug,,,Solitary,All sea slugs have both male and female sex organs,Unknown,Water pollution,Colorful patterns,"Pteropods, gastropod mollusks",5-50 days,Shallow and deep areas of oceans,Herbivore,,,Sea Slug,,,,,," Fish, lobsters, crabs, humans",Herbivore,,,,,,,500,"Plankton, plant matter, jelly fish",,,,,Algae,,7.5-8.4,,,
1381,Sea Squirt,,,,,,,,,,Coastal Waters,Omnivore,"1,000",,Sea Squirt,3000,Worldwide,"There are more than 3,000 known species!",,,,,,,,,,,,"Plankton, Algae, Nutrients In Water",,,,,Plankton,,,,,
1382,Sea Turtle,,,,"The great migratory sea turtle roams the world’s open oceans, supremely well-adapted for an aquatic lifestyle.",,,,,,Tropical coastal waters and beaches,Omnivore,100,Solitary,,,,Always return to the same beach to lay eggs!,,,,Reptile,,,,,,,,"Fish, Crabs, Seaweed, Jellyfish",,,,,Fish,,,,,
1383,Sea Urchin,,,,,,,,,,Rocky ocean floor and coral reefs,Omnivore,,,Sea Urchin,,,Can live for up to 200 years!,,,"Fish, Birds, Crabs, Sea Otter",,,,,,,,2000000,"Algae, Fish, Barnacles",,,,,Algae,,6.0-9.0,,,
1384,Seagull,"Fish, insects, earthworms, rodents, reptiles, amphibians, birds, and more",,,Some gulls are capable of using tools,millions,Overfishing and climate change,"The long bill, hooked at the end",mews,,Coasts and beaches,Carnivore,,,seagull,-2,,,,,"Raccoons, cats, foxes, minks, and birds of prey",bird,,,,up to 67 inches,one month,,2,,,,Ground and cliff sites,one to two months,,,,1,,
1385,Seahorse,,,,,,,,,,Shallow tropical waters and coral reefs,Omnivore,,,Seahorse,,,"Males give birth to up to 1,000 offspring!",,,"Fish, Crabs, Rays",,Long snout and brooding pouch on the male,,,,,,250,"Tiny Fish, Brine Shrimp, Plankton",,,,,Tiny Fish,,7.9 - 8.4,,,
1386,Seal,,,,,,,,,,Coastal waters and rocky shores,Carnivore,1,Herd,,,,There are 30 different species worldwide!,,,"Human, Sharks, Killer Whale",Mammal,,,,,,,,"Fish, Crabs, Squid",,,,,Fish,,,,,
1387,Sealyham Terrier,,,,Very endangered breed that is scion of several breeds that include one that is already extinct,,,,,,,Omnivore,,,,,,,,,,,,Variable between quiet and frisky,,,,,,,,,,,,,,,,
1388,Sei Whale," Krill and other euphausiids, copepods, small fish and squid",,Solitary,This whale is one of the fastest of the cetaceans,"80,000","Humans, climate change, pollution","Its tall, sickle-shaped dorsal fin","Japan finner, lesser fin whale, pollock whale, sardine whale, coalfish, Rudolph’s rorqual",10.5 to 12 months,,Carnivore,,,Sei Whale,2,,,,,Humans,Mammal,,,,,,,,,,,,,,,,,,
1389,Senegal Parrot,,,,"As a pet, the Senegal parrot is capable of ""talking"" to its owner",,Habitat loss,The bright colors and V-shaped chest markings,,,Savannas and woodlands,Herbivore,,,Senegal Parrot,1,Western Africa,,,,"Raptors, snakes, monkeys, and big cats",Bird,,,,6 inches,25-28 days,,1,,,,Holes of tall trees,9-12 weeks,"Fruits, seeds, and grains",,,,,
1390,Serval,"Rodents, Birds, Frogs",Kitten,Solitary,Can leap more than 1 meter into the air!,Stable,Habitat loss and hunting,Large and round dish-like ears,African Serval,72 days,Wetlands and grasslands close to water,Carnivore,2,Crepuscular,Serval,10,Sub-Saharan Africa,Can leap more than 1 meter into the air!,Mammal,,"Human, Leopard, Hyena",,,,,,,,,,,,,,,,,,,
1391,Shark,"Sea lion, seals, humans, small fishes, and invertebrates",,,No shark species has any bones in their bodies,,"Killer whales, sperm whales and humans",,,Two years,,Carnivore,,,Shark,,USA and Australian waters mostly,,,,,Fish,,,,,,,,,,,,,"Sea lion, seals, humans, small fishes, and invertebrates",,,,,
1392,Sharp-Tailed Snake,Slugs,Snakelet or hatchling,Semi-social,This snake uses its sharp tail to steady itself when capturing prey.,"100,000 plus adults",Habitat loss,"Spiny, sharp tail","Pacific brown snake, gentle brown snake",Summer to mid-fall,"Moist areas including woodlands, forests, grasslands",Carnivore,,,Sharp-tailed snake,,"Western part of the United States, British Columbia",,Semi-social,3-8 eggs,"Birds, larger snakes, foxes, cats",Reptile,,,,,,,,,,,,,,,,,,
1393,Sheep,,,Flock,Sheep were one of the first and most successful domesticated species in the world.,,,,,,Grass plains and mountainous regions,Herbivore,1,Flock,,,,Around 35 million in the English countryside!,,,,Mammal,,,,,,,,"Grass, Weeds, Flowers",,,,,Grass,,,,,
1394,Sheepadoodle,,,,"Sheepadoodles were first bred as an experiment for use as a military dog in the Army in the 1960s, however they didn’t really gain popularity until 2007.",,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1395,Shepadoodle,,,,Some police officers with allergies use Shepadoodles as their K-9 partner,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1396,Shepkita,,,,These dogs can sometimes be overly aggressive.,,,,,,,Omnivore,,,,,,,,,,,,"Active, loyal, eager to please",,,,,,,,,,,,,,,,
1397,Shepweiler,,,,The Shepweiler is an excellent guard dog.,,,,,,,Omnivore,,,,,,,,,,,,"Protective, loyal, and intelligent",,,,,,,,,,,,,,,,
1398,Shiba Inu,,,,Shiba Inus are one of six native dog breeds from Japan.,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1399,Shih Poo,,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,Shih Tzu,,,,,,,,,,,Omnivore,,,Shih Tzu,,,Can live for up to 15 years!,Herd,,,,,,,,,,,,,,,,,,,,,
1401,Shoebill Stork,"Fish, snakes, frogs, turtles, lizards, and more",,,Adults greet each other by clattering their bills together.,"11,000 - 15,000",Habitat destruction,Shoe-shaped bill,Whaleheaded stork,,Wetlands,Carnivore,,,Shoebill stork,1,East Africa,,,,Humans and crocodiles,Bird,,,,8ft,30 days,,,,,,Small islands or floating vegetation,3-4 months,,,,,,
1402,Shollie,,,,Shollies are a fairly new type of crossbreed!,,,,,,,Omnivore,,,,,,,,,,,,Active and loyal,,,,,,,,,,,,,,,,
1403,Shrew,"Insects and other small invertebrates, small aquatic animals","Baby, Juvenile",Solitary,The spinal column of the shrew Scutisorex somereni is so strong and reinforced that it can support the weight of an adult human.,"100 billion, conservation status least concern","Habitat destruction, climate change, pollution",Its bad smell,,18 to 27 days,"Gardens, burrows, near small bodies of water in temperate, subtropical and tropical climates",Omnivore,,,Shrew,384,"North, South and Central America, Asia, Africa, northern Europe",,,Two to 10 babies,"Birds of prey, snakes, pet cats, foxes, weasels",Mammal,,,,,,,,,,,,,,,,,,
1404,Shrimp,,,School,Approximately 23% of all shrimp species prefer to live in freshwater,Millions,Consumption by other sea animal life,Has 10 legs,,2-3 weeks,All water regions around the world,Omnivore,,,Shrimp,,,"There are 2,000 different species worldwide!",,,"Crabs, sea urchins, starfish, seabirds, whales, sharks, seahorses, dolphins, and humans",Crustacean,,,,,,,500000,"Snails, dead shrimp, worms, fish",,,,,Tiny Fish,,7.0-9.5,,,
1405,Siamese,,,,Originated from temple cats in Thailand!,,,,Meezer,,,Omnivore,4,,Siamese,,,Originated from temple cats in Thailand!,Shorthair,,,,,"Intelligent, calm and sociable",,,,,,,,,,,,,,,,
1406,Siberian,,,,An exceptionally agile jumper!,,,,Siberian Forest Cat,,,Omnivore,5,,Siberian Cat,,,An exceptionally agile jumper!,Longhair,,,,,"Affectionate, loving and loyal",,,,,,,,,,,,,,,,
1407,Siberian Husky,,,,,,,,,,,Omnivore,,,Siberian Husky,,,Is adequately warm in sub-zero temperatures!,North,,,,,,,,,,,,,,,,,,,,,
1408,Siberian Ibex,,Kid,Gregarious,There’s a population of Siberian ibex in New Mexico,"Around 256,573 individuals in the wild, but its conservation status is near threatened.","Humans, snow leopards, habitat destruction","The male’s huge, curved, ridged horns","Gobi ibex, Mongolian ibex, Himalayan ibex, Central Asian ibex, Altai ibex, Tian Shan ibex",About 6 months,"Mountains, rocky, semi-arid places, alpine meadows",Herbivore,,,Siberian Ibex,1,Central Asia,,Herd,1,"Humans, snow leopards, golden eagles, wild dogs, wolves, wolverines",Mammal,,,,,,,,,,,,,,,,,,
1409,Siberian Retriever,,,,Many husky Labs have one blue eye and one brown eye.,,,,,,,Omnivore,,,,,,,,,,,,Intelligent and affectionate but can be stubborn,,,,,,,,,,,,,,,,
1410,Siberian Tiger,,,,,,,,,,Dense tropical forest,Carnivore,3,Solitary,,,,Also known as the Amur tiger!,,,Human,Mammal,,,,,,,,"Deer, Cattle, Wild Boar",,,,,Deer,,,,,
1411,Siberpoo,,,,"Although a lack of documentation makes it unclear, the first Siberpoo was probably bred in either the 1970s or 1980s.",,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1412,Sidewinder,"Mice, lizards, birds",Neonates or snakelets,,,"over 100,000 adults",,The hornlike structures on this snake’s head are why it’s sometimes called a horned rattlesnake.,Horned rattlesnake,,,Omnivore,,,Sidewinder,3,,,,5-18 live young,,,"Its triangular shaped, flat head",,,,,,,,,,,,,,,,,
1413,Silkie Chicken,,chick,Flock," Silkie hens are excellent mothers and will tid-bit food with her young. This means she goes over to the food or treats, has a bite, then calls the chick over to her to share. Silkie hens will raise any bird as their own and have been known to patiently sit on a clutch of duck or geese eggs until they hatch.",,racoons,Fluffy feathers,Silky or Chinese Silk Chicken,Incubation period- 20 to 21 days,"farm, yards",Omnivore,,,Silkie,,,,flock,10-14 eggs,"Racoons, Bobcats, Foxes, Coyotes, Weasels, Birds of Prey, Skunks, Snakes, and Rodents",bird,,,,,,,,,,,,,,China,,,,
1414,Silky Terrier,,,,"Silky terriers can be trained to participate in many events, including herding, agility, rally, tracking and fly ball.",,,,,,,Omnivore,,,,,,,,,,,,Proud and opinionated,,,,,,,,,,,,,,,,
1415,Silver Dollar,Small invertebrates,,School,Closely related to the Piranha,,"Large -fish, birds, reptiles","Flat, disc-shaped body",,3 days,Tropical well-vegetated rivers,Omnivore,"2,000",,Silver Dollar,16,,,,,"Large fish, birds, reptiles",Fish,,,,,,,,"Bloodworm, Insects, Plants",,,,,Bloodworm,,5 - 7,,,
1416,Silver Labrador,,,,"The Labrador is the most popular breed in the United States and most of these dogs have blue eyes at a young age, before they turn another color.",,,,,,,Omnivore,,,,,,,,,,,,"Intelligent, loyal, and outgoing",,,,,,,,,,,,,,,,
1417,Sinosauropteryx,,,,Sinosauropteryx were prominent in the Cretaceous and Jurassic periods.,,,,,,,Omnivore,,,,,China,,,,,,,,,,,,,,,,,,,,,,,
1418,Sixgill shark,"Fish, sharks, rays, and crustaceans",,Solitary,The sixgill shark has six pairs of gills instead of the normal five,Unknown,Overfishing,The massive rows of comb-like teeth,Cow Shark,Longer than 2 years,Oceans,Carnivore,,,Sixgill Shark,3,,,,,"Humans, orcas, sharks, dolphins, and sea lions",Shark,,,,,,,,,,,,,,,,,,
1419,Skate Fish,"Crustaceans, cephalopods, fish, mollusks",,Solitary,"Their ""mermaid pouches"" can be found on beaches across the world!",,Ocean Trawling,Flat body type that's similar to stringrays,,Eggs take 3 to 5 months to hatch depending on species,Generally found in along continental shelfs,Carnivore,,,,,Oceans across the world,More than 200 species exist!,,Up to 40 eggs,Sharks,,,,,,,,,,,,,,,Believed to have first evolved in the Jurassic Period (200 to 145 million years ago),,,,
1420,Skink Lizard,"Flies, crickets, grasshoppers, beetles, and caterpillars",skinklets,Solitary,Some skinks lay eggs in some habitats while giving birth to skinklets in other habitats.,Unknown,Man,Lizard-like body with short legs or no legs at all,Skinks,30-75 days,Varies depending on species,Carnivore,,,,,Worldwide,,,10-18,"Foxes, raccoons, opossums, skunks, shrews, moles, birds",Reptiles,,,,,,,,,,,,,,,,,,
1421,Skipjack Tuna,,,School,The skipjack is the most commonly caught tuna in the world,Millions,Overfishing,The torpedo-shaped body,"Striped tuna, ocean bonito, mushmouth, and balaya",A few days,Oceans,Carnivore,,,Skipjack tuna,1,,,,,"Sharks, whales, humans, seabirds, and other fish",Ray-finned fish,,,,,,,,"Fish, crustaceans, cephalopods, and mollusks",,,,,,,,,,
1422,Skunk,,,,Also known as the Polecat!,,,,,,Open woodland and dense shrub,Omnivore,6,Solitary,,,,Also known as the Polecat!,,,"Owls, Coyote, Wild cats",Mammal,,,,,,,,"Insects, Rodents, Rabbits",,,,,Insects,,,,,
1423,Skye Terrier,,,,"Skye terriers are the oldest terrier breed, dating back at least 400 years.",,,,,,,Omnivore,,,,,,,,,,,,"Intelligent, Gay, Friendly, Fearless, Loyal, Good-tempered",,,,,,,,,,,,,,,,
